metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.2_0.6_0.8_0.8_singlekalman,73.141,71.622,75.075,76.022,80.932,78.327,84.736,83.235,75.525,91.282,80.311,73.309,89.635,80.734,89.836,91.885,97.819,85.714,9.5238,4.7619,11391,1006,254,25,36,4,2,124,71.932,90.65,87.9,93.577,10897,1500,748,11645,12397,59,42
macaques_0.2_0.6_0.8_0.9_doublekalman,72.172,68.952,75.875,72.49,81.89,79.065,85.221,83.497,74.146,89.536,80.736,72.288,86.061,81.061,86.15,87.336,98.66,76.19,14.286,9.5238,10827,1570,147,11,32,6,4,87,69.521,90.317,85.134,96.173,10554,1843,420,10974,12397,48,42
macaques_0.2_0.6_0.8_0.9_singlekalman,73.229,71.584,75.294,76.011,80.898,78.539,84.81,83.24,75.63,91.384,80.312,73.392,89.61,80.738,89.796,91.877,97.785,85.714,9.5238,4.7619,11390,1007,258,23,36,4,2,122,71.913,90.863,88.118,93.784,10924,1473,724,11648,12397,60,42
macaques_0.2_0.6_0.8_0_doublekalman,70.718,69.598,72.195,73.627,81.257,79.045,78.124,83.341,72.888,88.227,80.326,70.87,86.682,80.95,86.771,88.691,97.881,83.333,11.905,4.7619,10995,1402,238,11,35,5,2,118,69.787,87.397,83.294,91.926,10326,2071,907,11233,12397,39,42
macaques_0.2_0.6_0.8_0_singlekalman,72.539,71.268,74.201,75.795,80.822,79.461,81.045,83.29,74.972,90.521,80.319,72.706,88.812,80.85,89.005,91.393,97.454,85.714,9.5238,4.7619,11330,1067,296,24,36,4,2,136,71.31,90.555,87.739,93.558,10877,1520,749,11626,12397,46,42
macaques_0.2_0.6_0.8_1_doublekalman,71.843,68.982,75.158,72.502,81.933,78.298,85.22,83.508,73.8,89.076,80.753,71.932,86.077,81.082,86.15,87.32,98.678,76.19,14.286,9.5238,10825,1572,145,9,32,6,4,86,69.558,89.417,84.27,95.232,10447,1950,523,10970,12397,48,42
macaques_0.2_0.6_0.8_1_singlekalman,72.908,71.614,74.612,76.022,80.938,77.808,84.809,83.251,75.291,90.937,80.328,73.048,89.627,80.757,89.796,91.861,97.801,85.714,9.5238,4.7619,11388,1009,256,21,36,4,2,121,71.95,89.988,87.255,92.898,10817,1580,827,11644,12397,60,42
macaques_0.2_0.6_0.9_0.1_doublekalman,69.932,69.196,71.072,73.433,80.92,79.22,76.636,83.318,72.215,87.003,80.302,69.866,86.182,80.917,86.263,88.505,97.529,76.19,19.048,4.7619,10972,1425,278,10,32,8,2,104,69.293,85.186,81.245,89.529,10072,2325,1178,11250,12397,36,42
macaques_0.2_0.6_0.9_0.1_singlekalman,71.001,71.099,71.325,76.022,80.304,78.736,78.284,83.234,73.607,88.508,80.197,70.981,88.529,80.826,88.699,91.683,96.847,85.714,9.5238,4.7619,11366,1031,370,21,36,4,2,128,70.95,86.844,84.529,89.289,10479,1918,1257,11736,12397,44,42
macaques_0.2_0.6_0.9_0.2_doublekalman,69.988,69.299,71.082,73.477,81.005,79.243,76.662,83.327,72.242,87.02,80.36,69.93,86.384,80.923,86.448,88.578,97.652,76.19,19.048,4.7619,10981,1416,264,8,32,8,2,102,69.486,85.221,81.262,89.586,10074,2323,1171,11245,12397,36,42
