metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_macaquecp_200_5e-5,71.554,68.691,74.874,72.794,81.22,78.999,83.803,83.556,73.808,88.641,80.798,71.62,85.303,81.195,85.367,87.497,97.624,78.571,11.905,9.5238,10847,1550,264,8,33,5,4,28,68.849,87.323,82.794,92.377,10264,2133,847,11111,12397,54,42
macaques_macaquecp_20_1e-5,65.79,61.704,70.495,67.388,78.017,74.31,82.442,83.532,68.898,81.713,80.088,65.442,74.704,81.378,74.921,80.649,93.369,69.048,21.429,9.5238,9998,2399,710,27,29,9,4,32,59.685,80.632,75.139,86.991,9315,3082,1393,10708,12397,53,42
macaques_macaquecp_20_5e-5,68.811,64.526,73.683,70.909,76.707,77.106,83.348,82.607,72.266,86.84,79.384,68.937,79.85,80.107,79.971,86.206,93.255,78.571,11.905,9.5238,10687,1710,773,15,33,5,4,26,62.701,85.459,82.23,88.953,10194,2203,1266,11460,12397,63,42
macaques_macaquecp_30,62.688,58.912,66.918,70.53,67.801,70.8,78.807,80.863,68.685,82.218,76.91,63.234,72.413,77.804,72.856,88.441,85.019,76.19,16.667,7.1429,10964,1433,1932,55,32,7,3,44,52.783,80.362,81.98,78.807,10163,2234,2733,12896,12397,74,42
macaques_macaquecp_30_1e-5,67.943,63.948,72.493,68.593,80.48,76.396,83.261,84.073,70.498,83.515,80.908,67.57,77.47,81.954,77.648,81.439,95.552,69.048,21.429,9.5238,10096,2301,470,22,29,9,4,33,62.773,82.01,75.954,89.116,9416,2981,1150,10566,12397,59,42
macaques_macaquecp_30_5e-5,69.462,66.044,73.405,71.255,78.394,76.979,83.162,82.593,72.296,87.764,79.273,69.573,82.383,80.057,82.536,86.715,95.403,78.571,7.1429,14.286,10750,1647,518,19,33,3,6,31,65.089,85.51,81.617,89.794,10118,2279,1150,11268,12397,61,42
macaques_macaquecp_40,64.897,63.171,67.168,67.324,75.456,70.607,79.21,79.448,67.182,86.635,75.154,65.11,83.536,75.879,83.738,86.481,96.926,76.19,19.048,4.7619,10721,1676,340,25,32,8,2,45,62.676,85.174,80.584,90.317,9990,2407,1071,11061,12397,57,42
macaques_macaquecp_40_1e-5,70.53,67.164,74.368,71.909,80.58,77.556,84.884,83.808,73.115,87.263,80.693,70.415,82.665,81.488,82.851,86.045,96.421,76.19,16.667,7.1429,10667,1730,396,23,32,7,3,26,66.737,85.226,80.64,90.364,9997,2400,1066,11063,12397,57,42
macaques_macaquecp_40_5e-5,70.29,66.948,74.15,71.673,79.825,77.523,84.345,83.219,72.875,87.702,80.239,70.371,82.641,80.872,82.802,86.295,96.11,78.571,11.905,9.5238,10698,1699,433,20,33,5,4,36,66.134,86.799,82.367,91.735,10211,2186,920,11131,12397,62,42
macaques_macaquecp_50,60.863,57.479,64.765,66.933,66.255,68.325,75.663,77.845,65.798,83.99,72.928,61.252,74.276,74.064,74.502,87.763,86.873,76.19,19.048,4.7619,10880,1517,1644,28,32,8,2,52,51.514,82.091,82.512,81.675,10229,2168,2295,12524,12397,84,42
