metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_nopretrain_190_1e-5,56.503,47.947,70.619,52.648,70.196,73.574,83.238,78.189,59.784,76.117,71.065,54.092,57.301,74.585,57.44,66.221,88.292,48,34.667,17.333,17722,9040,2350,37,36,26,13,153,40.471,71.102,62.215,82.951,16650,10112,3422,20072,26762,89,75
lemurs_nopretrain_190_5e-5,61.528,53.713,74.509,58.408,73.843,77.63,85.786,79.986,64.761,80.007,73.936,59.154,64.894,76.656,65.018,72.057,91.1,60,29.333,10.667,19284,7478,1884,33,45,22,8,142,48.073,76.887,68.851,87.046,18426,8336,2742,21168,26762,93,75
lemurs_nopretrain_20,39.109,20.238,76.866,20.923,75.159,79.4,84.83,81.461,39.842,48.623,76.799,37.342,23.694,78.652,23.72,25.779,92.604,22.667,6.6667,70.667,6899,19863,551,7,17,5,53,27,18.191,39.442,25.211,90.564,6747,20015,703,7450,26762,27,75
lemurs_nopretrain_200,59.331,50.669,72.902,54.684,74.507,75.246,85.906,80.154,62.17,76.614,74.492,57.071,61.793,76.787,61.901,67.648,92.17,53.333,30.667,16,18104,8658,1538,29,40,23,12,157,46.09,73.903,64.072,87.298,17147,9615,2495,19642,26762,88,75
lemurs_nopretrain_200_1e-5,56.757,47.293,72.151,51.928,70.042,75.19,84.43,78.247,60.061,76.467,70.731,54.086,55.889,74.513,56.023,65.081,87.783,52,28,20,17417,9345,2424,36,39,21,15,157,39.302,71.159,61.957,83.569,16581,10181,3260,19841,26762,89,75
lemurs_nopretrain_200_5e-5,60.293,52.787,72.906,57.661,72.72,75.475,84.98,79.432,63.612,79.19,73.11,57.896,64.281,76.247,64.382,71.837,90.598,61.333,28,10.667,19225,7537,1995,27,46,21,8,172,47.218,75.695,67.857,85.58,18160,8602,3060,21220,26762,93,75
lemurs_nopretrain_20_1e-5,44.306,28.891,70.64,30.771,67.086,73.879,80.078,76.043,45.988,61.815,67.546,41.753,29.987,72.95,29.994,37.931,82.697,25.333,21.333,53.333,10151,16611,2124,2,19,16,40,80,19.726,51.167,37.318,81.36,9987,16775,2288,12275,26762,47,75
lemurs_nopretrain_20_5e-5,32.455,15.685,68.894,15.989,72.439,71.871,79.405,77.02,32.853,43.174,71.196,30.738,20.275,72.658,20.286,21.179,95.954,17.333,8,74.667,5668,21094,239,3,13,6,56,30,14.484,33.64,20.533,93.025,5495,21267,412,5907,26762,23,75
lemurs_nopretrain_30,46.529,32.496,71.71,34.86,69.57,75.795,85.556,78.126,48.54,63.447,69.636,44.182,33.406,75.857,33.465,41.787,83.393,25.333,34.667,40,11183,15579,2227,16,19,26,30,103,23.317,53.744,40.337,80.5,10795,15967,2615,13410,26762,53,75
lemurs_nopretrain_30_1e-5,45.745,33.794,64.223,37.193,63.727,67.491,77.269,75.335,48.302,65.489,66.739,43.707,35.379,71.945,35.427,46.895,80.351,30.667,28,41.333,12550,14212,3069,13,23,21,31,125,22.222,56.346,44.615,76.445,11940,14822,3679,15619,26762,65,75
lemurs_nopretrain_30_5e-5,50.152,34.814,77.603,37.269,72.512,80.582,89.54,80.015,52.241,64.297,73.728,47.405,39.104,77.341,39.141,45.269,88.077,34.667,20,45.333,12115,14647,1640,10,26,15,34,79,28.846,57.981,43.891,85.394,11746,15016,2009,13755,26762,60,75
lemurs_nopretrain_40,48.728,34.646,72.209,37.771,67.849,75.728,82.867,77.738,51.263,66.623,68.47,45.617,34.142,75.718,34.183,44.926,80.702,30.667,24,45.333,12023,14739,2875,11,23,18,34,96,23.233,55.819,43.446,78.044,11627,15135,3271,14898,26762,58,75
lemurs_nopretrain_40_1e-5,53.134,42.028,73.17,46.282,67.924,77.127,85.164,77.398,56.385,72.947,68.88,50.246,45.942,74.144,46.032,57.085,83.778,40,30.667,29.333,15277,11485,2958,24,30,23,22,127,31.182,64.862,54.529,80.027,14593,12169,3642,18235,26762,71,75
lemurs_nopretrain_40_5e-5,50.858,38.563,69.47,41.959,69.43,72.272,81.779,78.083,53.384,69.394,69.673,48.349,40.883,76.106,40.935,50.684,83.868,37.333,22.667,40,13564,13198,2609,14,28,17,30,103,28.772,60.71,48.7,80.585,13033,13729,3140,16173,26762,70,75
lemurs_nopretrain_50,53.44,42.43,73.939,48.083,66.784,77.412,86.955,78.711,57.39,71.367,71.278,50.869,46.689,75.652,46.798,59.398,82.499,44,33.333,22.667,15896,10866,3372,29,33,25,17,165,32.227,66.105,56.849,78.96,15214,11548,4054,19268,26762,91,75
lemurs_nopretrain_50_1e-5,46.072,34.696,62.506,38.979,62.75,66.335,75.211,76.276,49.071,65.033,67.819,44.105,34.53,73.251,34.594,48.356,77.845,33.333,29.333,37.333,12941,13821,3683,17,25,22,28,140,21.596,57.922,46.951,75.583,12565,14197,4059,16624,26762,76,75
lemurs_nopretrain_50_5e-5,41.554,24.43,73.553,26.944,62.252,77.05,83.093,78.013,43.842,56.393,67.255,37.927,21.516,75.838,21.527,32.404,74.868,24,13.333,62.667,8672,18090,2911,3,18,10,47,54,13.686,44.506,31.885,73.668,8533,18229,3050,11583,26762,48,75
lemurs_nopretrain_60,54.306,43.872,70.13,51.31,63.871,73.602,81.18,78.113,59.193,74.114,70.005,51.884,45.262,75.491,45.382,62.858,78.245,46.667,30.667,22.667,16822,9940,4677,32,35,23,17,143,29.856,66.099,59.599,74.189,15950,10812,5549,21499,26762,91,75
lemurs_nopretrain_60_1e-5,50.853,40.988,66.399,47.335,62.085,70.253,78.63,75.946,55.135,72.869,66.347,48.346,39.975,73.074,40.094,58.168,76.294,41.333,32,26.667,15567,11195,4837,32,31,24,20,159,24.312,62.973,55.493,72.785,14851,11911,5553,20404,26762,82,75
lemurs_nopretrain_60_5e-5,57.893,49.308,71.871,58.655,64.731,75.549,83.051,78.728,63.773,78.662,70.582,55.521,52.197,75.956,52.373,71.493,78.899,54.667,32,13.333,19133,7629,5117,47,41,24,10,186,35.007,70.65,67.334,74.309,18020,8742,6230,24250,26762,101,75
lemurs_nopretrain_70,54.728,44.674,74.967,52.114,64.599,78.509,86.528,78.312,59.806,74.052,69.301,51.318,43.756,75.887,43.935,62.305,77.23,41.333,40,18.667,16674,10088,4916,48,31,30,14,163,28.732,65.131,58.837,72.932,15746,11016,5844,21590,26762,100,75
lemurs_nopretrain_70_1e-5,52.739,42.362,69.539,48.2,63.978,73.543,79.913,76.356,56.784,75.12,67.087,50.396,40.733,73.811,40.827,58.082,77.096,44,30.667,25.333,15544,11218,4618,25,33,23,19,145,25.522,62.893,55.138,73.187,14756,12006,5406,20162,26762,76,75
lemurs_nopretrain_70_5e-5,55.849,44.728,73.143,52.137,65.142,76.634,83.454,78.79,60.814,75.817,70.465,53.424,47.65,75.923,47.788,63.912,79.854,49.333,28,22.667,17104,9658,4315,37,37,21,17,139,32.261,67.828,61.057,76.287,16340,10422,5079,21419,26762,92,75
lemurs_nopretrain_80,54.807,45.004,70.905,51.79,66.323,73.924,83.969,78.864,59.361,73.31,70.308,51.543,47.53,76.005,47.702,62.895,80.544,46.667,33.333,20,16832,9930,4066,46,35,25,15,175,32.438,66.114,58.871,75.39,15755,11007,5143,20898,26762,100,75
lemurs_nopretrain_80_1e-5,55.653,46.645,71.78,51.961,67.103,74.917,83.519,76.753,59.366,77.923,68.466,53.35,53.632,73.264,53.752,65.593,84.708,49.333,32,18.667,17554,9208,3169,32,37,24,14,161,36.095,69.757,61.886,79.921,16562,10200,4161,20723,26762,87,75
lemurs_nopretrain_80_5e-5,56.957,46.927,72.567,52.868,68.606,75.743,83.787,79.099,60.967,76.294,71.148,54.281,54.174,76.157,54.267,65.664,85.211,53.333,25.333,21.333,17573,9189,3050,25,40,19,16,93,38.518,70.702,62.592,81.225,16751,10011,3872,20623,26762,86,75
lemurs_nopretrain_90,54.82,45.47,69.529,52.858,65.015,72.398,82.637,78.225,59.643,74.687,69.735,52.083,47.676,75.269,47.964,64.633,79.497,46.667,38.667,14.667,17297,9465,4461,77,35,29,11,194,31.692,67.218,60.933,74.947,16307,10455,5451,21758,26762,117,75
lemurs_nopretrain_90_1e-5,55.238,45.611,70.176,53.64,63.454,73.505,80.967,77.562,60.397,76.679,68.571,52.579,47.978,74.88,48.109,66.322,78.456,53.333,29.333,17.333,17749,9013,4874,35,40,22,13,153,31.319,68.665,63.355,74.946,16955,9807,5668,22623,26762,93,75
lemurs_nopretrain_90_5e-5,59.108,50.088,74.344,57.589,67.537,77.659,85.381,78.91,64.007,79.615,71.173,56.664,55.956,76.045,56.102,70.686,82.897,53.333,33.333,13.333,18917,7845,3903,39,40,25,10,157,39.023,72.918,67.547,79.216,18077,8685,4743,22820,26762,101,75
